d_loss,g_loss
0.419694901,1.696009874
0.453483641,1.41879046
0.445484251,1.723400712
0.463649452,1.342093587
0.456814706,1.469962835
0.453649849,1.848626137
0.495136827,1.476011276
0.425245583,1.738327146
0.455365896,1.636173725
0.447295815,1.585720778
0.423672259,1.62233305
0.461654484,1.48279655
0.453669727,1.443624258
0.438224077,1.597262144
0.447411984,1.540723443
0.479625762,1.648910642
0.500849843,1.439926744
0.485098362,1.528942347
0.468750536,1.475503206
0.478325188,1.791176081
0.470753223,1.798762679
0.467748493,1.455320716
0.46243459,1.572266579
0.457641542,1.498044491
0.461438507,1.534300804
0.470476091,1.582828045
0.467368215,1.495026588
0.434693426,1.539121985
0.510017157,1.539602757
0.4495368,1.47873807
0.456759483,1.561369896
0.500432849,1.700601578
0.453532606,1.314760685
0.459738165,1.880803585
0.456160337,1.595779181
0.472022563,1.376052856
0.446833581,1.610159755
0.437619686,1.516790152
0.462827265,1.356001496
0.422821343,1.670571089
0.421957701,1.540064812
0.441750586,1.326508999
0.469331652,1.408884406
0.446038067,1.273669958
0.452267736,1.414494753
0.428294927,1.650581956
0.458714068,1.55275476
0.429460853,1.698700666
0.459522784,1.537474394
0.446139812,1.40832448
0.437632293,1.75561285
0.480932146,1.403918624
0.450884342,1.446232557
0.464253694,1.482387424
0.445529461,1.584391594
0.4395051,1.723244429
0.435507566,1.678852201
0.454294205,1.544410706
0.43553254,1.671847105
0.4731718,1.320334911
0.446710587,1.471953034
0.49796471,1.660202146
0.444967717,1.68527019
0.439388096,1.798903108
0.473071843,1.345293045
0.478014618,1.556954861
0.456270188,1.612638235
0.474248707,1.598811746
0.452810675,1.625297427
0.448811501,1.789714217
0.433873594,1.592122316
0.433916181,1.415852547
0.445284754,1.653146505
0.497736752,1.651547313
0.430197209,2.01247716
0.486478508,1.458138108
0.445263445,1.550536633
0.479321152,1.523997545
0.432142496,1.449255228
0.478191078,1.564917088
0.471612185,1.702472687
0.461083084,1.526213884
0.476898879,1.748249054
0.451872289,1.695994377
0.494292051,1.507886291
0.47657761,1.728587985
0.456245244,1.460054398
0.479552448,1.19112277
0.439644545,1.623975277
0.467244714,1.563232183
0.449067533,1.437255859
0.45502761,1.423211694
0.480201066,1.368461609
0.460386544,1.576568604
0.450809151,1.311448574
0.433169633,1.456413984
0.446874291,1.631297231
0.438190758,1.408014894
0.460611343,1.495937347
0.440141886,1.323188901
0.450618893,1.447977543
0.475150347,1.572834134
0.46575737,1.518225551
0.452446759,1.663416386
0.462509632,1.312441707
0.455758274,1.694978714
0.477371961,1.619838834
0.441469699,1.691708803
0.451742977,1.478312969
0.453917265,1.5003016
0.454694331,1.618272185
0.469225556,1.239705563
0.421288311,1.669795275
0.445664942,1.607902646
0.473956794,1.440615416
0.433577567,1.669123888
0.418927908,1.614887238
0.435612977,1.518994808
0.450507373,1.422149777
0.439919442,1.745954752
0.44587642,1.429365993
0.436383933,1.508005619
0.474975169,1.490146041
0.430551052,1.563794971
0.482873589,1.362003088
0.440858155,1.635590315
0.474436969,1.47388339
0.484360039,1.557712555
0.465011746,1.479558587
0.454837978,1.785029411
0.469005674,1.585782051
0.477560252,1.281544924
0.457682848,1.835219145
0.460461229,1.549125671
0.465473562,1.368326306
0.463148206,1.558783174
0.449381679,1.869890928
0.498550892,1.462163448
0.455587447,1.415863752
0.446403801,1.619946122
0.430427343,1.463664532
0.494356692,1.527766585
0.444653213,1.548454285
0.429645598,1.485861301
0.482331336,1.718812108
0.473155707,1.863239884
0.486061335,1.776907682
0.453388244,1.506214619
0.475397825,1.587290049
0.453526258,1.557282209
0.451271623,1.390908837
0.472640663,1.384739399
0.465947926,1.395243645
0.451574564,1.674729228
0.455316812,1.593517065
0.472070426,1.238876104
0.463820219,1.528381586
0.469105542,1.74550128
0.472694665,1.456528425
0.438164204,1.409187317
0.463161469,1.32380867
0.472468883,1.710119486
0.442744076,1.712336302
0.422563553,1.903308153
0.470853537,1.410087109
0.441807508,1.441024184
0.439020157,1.84417057
0.451672554,1.448316216
0.441967398,1.58045578
0.479762554,1.531512856
0.430477411,1.516572118
0.419236273,1.725718141
0.452639252,1.627856255
0.455632687,1.719079971
0.458819598,1.417863607
0.434218109,1.519672513
0.456117392,1.47168541
0.472272247,1.56340754
0.44385919,1.798935413
0.455883443,1.230781794
0.473313659,1.678994894
0.432532758,1.847463608
0.458365887,1.708502769
0.430208385,1.664817095
